Loading datasets...
Datasets loaded to GPU.
Worker 4/8: sweep 0acb79e7, 25/200 runs

[worker 4] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 71, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[worker 4] Run 5/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 773, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[1 of 100],10000,0.147,0.949,1.000,1.000
[2 of 100],20000,0.007,0.999,1.000,0.999
[3 of 100],30000,0.001,1.000,1.000,0.998
[4 of 100],40000,0.001,1.000,1.000,0.998
[5 of 100],50000,0.000,1.000,1.000,1.000
[6 of 100],60000,0.007,0.998,1.000,0.836
[7 of 100],70000,0.000,1.000,1.000,0.877
[8 of 100],80000,0.000,1.000,1.000,0.883
[9 of 100],90000,0.000,1.000,1.000,0.872
[10 of 100],100000,0.000,1.000,1.000,0.866
[11 of 100],110000,0.016,0.996,1.000,0.886
[12 of 100],120000,0.000,1.000,1.000,0.882
[13 of 100],130000,0.000,1.000,1.000,0.923
[14 of 100],140000,0.000,1.000,1.000,0.908
[15 of 100],150000,0.000,1.000,1.000,0.906
[16 of 100],160000,0.032,0.991,1.000,0.963
[17 of 100],170000,0.002,0.999,1.000,0.952
[18 of 100],180000,0.000,1.000,1.000,0.982
[19 of 100],190000,0.004,0.999,1.000,0.813
[20 of 100],200000,0.000,1.000,1.000,0.858
[21 of 100],210000,0.000,1.000,1.000,0.873
[22 of 100],220000,0.000,1.000,1.000,0.878
[23 of 100],230000,0.000,1.000,1.000,0.883
[24 of 100],240000,0.000,1.000,1.000,0.887
[25 of 100],250000,0.000,1.000,1.000,0.892
[26 of 100],260000,0.000,1.000,1.000,0.894
[27 of 100],270000,0.000,1.000,1.000,0.896
[28 of 100],280000,0.000,1.000,1.000,0.896
[29 of 100],290000,0.000,1.000,1.000,0.898
[30 of 100],300000,0.000,1.000,1.000,0.899
[31 of 100],310000,0.000,1.000,1.000,0.900
[32 of 100],320000,0.000,1.000,1.000,0.901
[33 of 100],330000,0.000,1.000,1.000,0.904
[34 of 100],340000,0.013,0.998,0.985,0.820
[35 of 100],350000,0.005,0.998,0.996,0.926
[36 of 100],360000,0.003,0.999,1.000,0.815
[37 of 100],370000,0.000,1.000,1.000,0.831
[38 of 100],380000,0.000,1.000,1.000,0.850
[39 of 100],390000,0.005,0.999,1.000,0.676
[40 of 100],400000,0.000,1.000,1.000,0.713
[41 of 100],410000,0.000,1.000,1.000,0.723
[42 of 100],420000,0.000,1.000,1.000,0.737
[43 of 100],430000,0.000,1.000,1.000,0.747
[44 of 100],440000,0.000,1.000,1.000,0.752
[45 of 100],450000,0.000,1.000,1.000,0.766
[46 of 100],460000,0.000,1.000,1.000,0.770
[47 of 100],470000,0.000,1.000,1.000,0.774
[48 of 100],480000,0.000,1.000,1.000,0.779
[49 of 100],490000,0.002,1.000,1.000,0.776
[50 of 100],500000,0.000,1.000,1.000,0.873
[51 of 100],510000,0.000,1.000,1.000,0.890
[52 of 100],520000,0.008,0.998,1.000,0.909
[53 of 100],530000,0.000,1.000,1.000,0.915
[54 of 100],540000,0.000,1.000,1.000,0.917
[55 of 100],550000,0.000,1.000,1.000,0.961
[56 of 100],560000,0.000,1.000,1.000,0.964
[57 of 100],570000,0.000,1.000,1.000,0.966
[58 of 100],580000,0.000,1.000,1.000,0.973
[59 of 100],590000,0.000,1.000,1.000,0.979
[60 of 100],600000,0.000,1.000,1.000,0.981
[61 of 100],610000,0.000,1.000,1.000,0.984
[62 of 100],620000,0.000,1.000,1.000,0.987
[63 of 100],630000,0.000,1.000,1.000,0.993
[64 of 100],640000,0.000,1.000,1.000,0.996
[65 of 100],650000,0.004,0.999,0.970,0.579
[66 of 100],660000,0.003,0.999,1.000,0.804
[67 of 100],670000,0.000,1.000,1.000,0.775
[68 of 100],680000,0.002,0.999,1.000,0.606
[69 of 100],690000,0.000,1.000,1.000,0.606
[70 of 100],700000,0.000,1.000,1.000,0.607
